Series Name,Series Code,Country Name,Country Code,gdp_per_capita
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,516.747870807558
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5246.29230634793
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3306.85820838104
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12844.9009909959
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,1776.16686789531
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13992.7444804497
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8579.01777315683
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4266.01807420946
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51692.8427477695
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,48586.8013213238
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4221.40747847848
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,25194.0251444381
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20409.9528047731
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1961.6137487886
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,15373.8547035017
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6424.15217642722
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,45159.3482229717
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4115.17700795622
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1291.04097215441
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,107079.479836627
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3000.77932702976
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3133.09980321504
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6079.73828544838
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6404.89993159074
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,6796.84454227877
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27442.95382794
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,10079.2033812203
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,857.932729650223
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,238.990725856496
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3064.27238842819
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1543.66925757282
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1537.13021832773
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,43258.176319834
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,85082.5268555478
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,492.79587119399
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,659.270044977801
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,13231.7042069383
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10434.7751874839
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,5334.55604233917
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1420.66174747221
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,543.950392515803
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1846.13129708695
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12140.8541545754
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2325.72370502247
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,14134.1626811193
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,9477.85287326771
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,16745.7243140176
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,26623.8008913181
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,22932.2249686565
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,61063.3164304238
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3425.48417585803
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,7003.85902147233
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,7268.1969096591
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,5600.38961495341
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3569.20684121108
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,3798.63652082321
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,7143.23870497146
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,23027.0269956294
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3424.2822122311
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,936.340461064749
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,5057.63191261761
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,48773.2811691347
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,39030.3603713482
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,6881.71519231831
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,773.002070135524
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4266.69079450924
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46208.4294717472
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2205.5290158584
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,17622.5410033504
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
