Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,59.6273948472873
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,103.567262773723
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,18.4113398560129
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,275.985
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,164.393617021277
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,26.3626116948745
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,222.563636363636
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,16.580892611147
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,104.082683526519
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,593.144444444444
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,3.33944022506442
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,108.061136694135
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,122.112916495269
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,39.2855144855145
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,2181.51666666667
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1265.18693247292
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,668.304651162791
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,46.211212927382
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,381.637945838838
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,17.4318719859711
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,107.513284852785
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1183.38888888889
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,20.2310435238595
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,10.7754352441614
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,64.07841796875
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,4.14946270710921
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,25.4314248146119
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,201.58
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,83.0138519924099
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,63.8726510685335
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,76.4008698830409
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,463.036643302181
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,137.962282878412
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,94.7143156582823
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,56.1567641894608
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,4.23901137571537
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,273.833333333333
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,7.75267905871778
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,13.0446783672173
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,878.075757575758
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,25.710001721513
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,149.705447160568
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,45.8610941865705
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,467.272971520688
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,39.5057030061093
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,16.1583953147877
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,99.7672150411281
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,82.9505503144654
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,71.5179360311009
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,109.119614643545
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,349.130630630631
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,130.666774891775
Population density (people per sq. km of land area),EN.POP.DNST,Czech Republic,CZE,138.586735751295
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,145.7851
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,42.6230371009491
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,95.988
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,224.547795487477
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,71.0382509260751
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,102.802152795218
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,313.040588803089
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,50.0172905525847
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,35.1131386138614
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,30.6201288244767
Population density (people per sq. km of land area),EN.POP.DNST,Eswatini,SWZ,67.4513953488372
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,101.800711323583
Population density (people per sq. km of land area),EN.POP.DNST,Faroe Islands,FRO,35.0035816618911
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,49.0664477285167
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,18.1979435377731
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,123.076834009975
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,79.8022727272727
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,8.63790119144642
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,238.800790513834
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,64.9777808880647
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,238.252118037667
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,136.560363013097
Population density (people per sq. km of land area),EN.POP.DNST,Gibraltar,GIB,3369.1
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,83.1307137315749
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.137329760019491
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,330.938235294118
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,312.561111111111
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,157.319270250093
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,53.446166368224
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,69.9857041251778
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,3.99572771145542
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,413.734869375907
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,88.520940209134
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,7125.52380952381
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,106.835009861933
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,3.63408707725875
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,464.149410229417
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,145.683543548694
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,51.5686491564135
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,92.6512526259536
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,72.5028886630861
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMN,149.178947368421
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,425.919593345656
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,200.026947234071
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,273.422068328717
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,345.229138545953
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,114.926109484118
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.94686076230692
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,94.4781600309238
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,147.464197530864
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. People's Rep.",PRK,214.091977410514
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,530.973943806399
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,XKX,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,239.65
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,34.3670490093848
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,31.5232062391681
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,30.6256724110163
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,667.198631476051
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,70.5616600790514
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,52.5091050664452
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,3.90516100799072
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,238.35625
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,44.6223854382884
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,260.195473251029
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,19736.8389057751
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,47.5954262633207
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,202.905759439966
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,98.5116359762593
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,1801.80666666667
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,16.5964595677722
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1641.515625
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,328.855555555556
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,4.51116716794412
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,623.51724137931
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,66.3251385066488
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,164.315714285714
